Downloaded from wid.world on 27-10-2025 at 13:12:56
Percentile ;Year ;"sptinc_z_BR
Pre-tax national income 
Top 10% | share
Brazil"
p90p100;2023;0.5921000000000001
p0p50;2023;0.0912
p99p100;2023;0.2113
